site_name,full_name,team
Daniel Naruo,Daniel Naruo,San Francisco
Zach Purdy,Zach Purdy,San Francisco
Adam Raty,Adam Raty,San Francisco
Aaron Richards,Aaron Richards,San Francisco
Nick Slovan,Nick Slovan,San Francisco
Alec Surmani,Alec Surmani,San Francisco
Sam Swink,Sam Swink,San Francisco
Kohji Sugioka,Kohji Sugioka,San Francisco
Lucas Young,Lucas Young,San Francisco
Jason Yun,Jason Yun,San Francisco
Zubair Abdulla,Zubair Abdulla,Chicago
Von Alanguilan,Von Alanguilan,Chicago
Alex Drlica-Wagner,Alex Drlica-Wagner,Chicago
Tim Fergus,Tim Fergus ,Chicago
Cullen Geppert,Cullen Geppert ,Chicago
Jonathan Helton,"Jonathan ""Goose"" Helton ",Chicago
Patrick Kaufmann,Patrick Kaufmann   ,Chicago
Adrian King,Adrian King,Chicago
Bob Liu,Bob Liu,Chicago
Brett Matzuka,Brett Matzuka  ,Chicago
Dan Miller,Dan Miller ,Chicago
AJ Nelson,AJ Nelson   ,Chicago
Neil Phelps,Neal Phelps,Chicago
Brian Rathunde,Brian Rathunde ,Chicago
Jimmy Robin,Jimmy Robin,Chicago
Jeff Robinson,Jeff Robinson  ,Chicago
James Roush,James Roush,Chicago
Alex Rummelhart,Alex Rummelhart,Chicago
Andrew Sheehan,Andrew Sheehan ,Chicago
Max Shepard,Max Shepherd   ,Chicago
Jack Shey,Jack Shey  ,Chicago
Brodie Smith,Brodie Smith   ,Chicago
Ryan Smith,Ryan Smith ,Chicago
Matt Stegemann,Matt Stegemann ,Chicago
Josh Stevens-Stein,Josh Stevens-Stein ,Chicago
Dan Vockeroth,Dan Vockeroth  ,Chicago
Rory,Rory,Chicago
Mike Shiel,Mike Shiel,Chicago
Silver,Silver,Chicago
Mike Egan,Mike Egan,Chicago
J Silver,J Silver,Chicago
John Best,John Best,Jacksonville
Matt Bode,Matt Bode,Jacksonville
Jared Brody,Jared Brody,Jacksonville
Bryce Carleton,Bryce Carleton,Jacksonville
Ryan Chard,Ryan Chard,Jacksonville
